               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083574,            0.062789,            0.069966,           0.0017331,            0.030071,          0.00074065,          0.00014336,             0.08527,            0.028881,            0.068866,           0.0033257,           0.0033257,            0.070068
                   1,            0.074495,             0.06147,            0.065331,             0.45337,             0.31216,            0.074159,            0.024445,            0.061997,            0.027777,            0.061863,           0.0065931,           0.0065931,            0.040003
                   2,            0.059596,             0.05725,            0.062435,             0.40742,             0.38476,             0.12048,            0.060933,            0.049548,            0.025237,            0.057821,           0.0097945,           0.0097945,           0.0098706
                   3,            0.052715,            0.054321,            0.059435,             0.49244,             0.33817,             0.23021,             0.14418,            0.043517,            0.022533,            0.052489,            0.009703,            0.009703,            0.009703
                   4,            0.049763,            0.051574,            0.055858,             0.54196,             0.30913,             0.26141,             0.16501,            0.044017,            0.022649,            0.050672,            0.009703,            0.009703,            0.009703
                   5,             0.04799,             0.05114,            0.054096,              0.5902,             0.37565,             0.31886,             0.20252,            0.039719,            0.020423,            0.046943,            0.009604,            0.009604,            0.009604
                   6,            0.046711,            0.050875,            0.051448,              0.6183,             0.33911,             0.33037,             0.21942,            0.038651,             0.01998,            0.046538,            0.009505,            0.009505,            0.009505
                   7,            0.045678,            0.050827,            0.050705,             0.71709,              0.3876,             0.39936,             0.26289,            0.037324,            0.019591,            0.042898,            0.009406,            0.009406,            0.009406
                   8,            0.045419,            0.050108,            0.048395,             0.67445,             0.35669,             0.42569,             0.27471,            0.038296,            0.020588,            0.038716,            0.009307,            0.009307,            0.009307
                   9,            0.044478,            0.049339,            0.046639,             0.67041,             0.40057,             0.44286,             0.28791,            0.037168,            0.019415,            0.037786,            0.009208,            0.009208,            0.009208
                  10,            0.044066,            0.049264,            0.044593,             0.79497,             0.40243,             0.45121,             0.31122,            0.036954,             0.02064,            0.035941,            0.009109,            0.009109,            0.009109
                  11,            0.043516,            0.048204,            0.043187,             0.73385,             0.44006,             0.47577,             0.32878,            0.035165,            0.019186,            0.034517,             0.00901,             0.00901,             0.00901
                  12,            0.043075,            0.048074,             0.04208,             0.81551,             0.40802,             0.48485,             0.34342,            0.035279,            0.018417,            0.034313,            0.008911,            0.008911,            0.008911
                  13,            0.042695,            0.048142,            0.041869,             0.85657,             0.42136,             0.51504,             0.32202,            0.038302,            0.019014,            0.031798,            0.008812,            0.008812,            0.008812
                  14,            0.042402,            0.047636,            0.039458,             0.82193,             0.42862,             0.50344,             0.34193,            0.035603,            0.017979,            0.031022,            0.008713,            0.008713,            0.008713
                  15,            0.041954,            0.046778,            0.037996,             0.82351,              0.4523,              0.5368,             0.36367,            0.036255,            0.018707,             0.02761,            0.008614,            0.008614,            0.008614
                  16,            0.041729,            0.047755,            0.036931,             0.85448,             0.42502,             0.55126,             0.37426,            0.036387,            0.019021,            0.030739,            0.008515,            0.008515,            0.008515
                  17,            0.041285,            0.046439,            0.035899,             0.75483,             0.46699,             0.53877,             0.37628,            0.035114,            0.018783,            0.026163,            0.008416,            0.008416,            0.008416
                  18,            0.040744,            0.046901,            0.036235,             0.74217,             0.51205,             0.58344,             0.41338,            0.032985,             0.01772,             0.02481,            0.008317,            0.008317,            0.008317
                  19,            0.040541,            0.045663,            0.034538,             0.77844,             0.47938,             0.58207,             0.41537,            0.032896,             0.01787,            0.024078,            0.008218,            0.008218,            0.008218
                  20,            0.040136,            0.045922,            0.034353,             0.80883,             0.52788,             0.59825,             0.42008,            0.031923,            0.017495,            0.021999,            0.008119,            0.008119,            0.008119
                  21,             0.04005,            0.045992,            0.033326,             0.79083,             0.49961,             0.58354,             0.42151,            0.030868,            0.017665,            0.023606,             0.00802,             0.00802,             0.00802
                  22,            0.040154,            0.045897,            0.032491,             0.66704,             0.60393,             0.61518,             0.43692,            0.032395,            0.017385,            0.019701,            0.007921,            0.007921,            0.007921
                  23,            0.039593,            0.046285,            0.032378,             0.84029,             0.54764,             0.62064,              0.4389,            0.032366,            0.018034,            0.019573,            0.007822,            0.007822,            0.007822
                  24,            0.039485,            0.044907,            0.031731,             0.74528,             0.59638,              0.6383,             0.44141,            0.031611,            0.017438,            0.019591,            0.007723,            0.007723,            0.007723
                  25,            0.039505,            0.045549,             0.03189,             0.89087,             0.50244,              0.5983,             0.42957,            0.031368,            0.017457,            0.020065,            0.007624,            0.007624,            0.007624
                  26,            0.039327,            0.045445,            0.031166,             0.76498,             0.55797,             0.62338,             0.44973,            0.030578,            0.017153,            0.019535,            0.007525,            0.007525,            0.007525
                  27,            0.039101,            0.045488,             0.03073,              0.8189,             0.55444,             0.64976,             0.45247,             0.03186,            0.017748,            0.017599,            0.007426,            0.007426,            0.007426
                  28,            0.038387,            0.044147,            0.030031,             0.78398,             0.54805,             0.64286,             0.44412,            0.033152,            0.017084,            0.018581,            0.007327,            0.007327,            0.007327
                  29,            0.038003,            0.044888,            0.028629,             0.78941,             0.57317,             0.63356,             0.44979,            0.029938,            0.016937,            0.017728,            0.007228,            0.007228,            0.007228
                  30,            0.038422,            0.044907,            0.029034,             0.90562,             0.53073,             0.63614,             0.45869,            0.030319,            0.016709,            0.015876,            0.007129,            0.007129,            0.007129
                  31,            0.038083,            0.043931,            0.028761,             0.82423,             0.58374,             0.67929,             0.47765,            0.029775,            0.016688,            0.015374,             0.00703,             0.00703,             0.00703
                  32,            0.037972,            0.044813,             0.02719,             0.84123,             0.57946,             0.68621,             0.47496,            0.029923,            0.016515,            0.015362,            0.006931,            0.006931,            0.006931
                  33,            0.037269,            0.043656,             0.02764,              0.7617,             0.63018,               0.684,              0.4736,            0.030564,            0.016866,            0.014618,            0.006832,            0.006832,            0.006832
