               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083653,            0.063187,            0.070377,          0.00095184,             0.13537,            0.001267,          0.00023634,            0.076825,            0.032709,            0.066175,           0.0033257,           0.0033257,            0.070068
                   1,            0.073565,             0.06209,            0.065544,             0.37151,             0.20313,            0.066867,            0.027878,            0.063105,            0.029303,            0.061619,           0.0065931,           0.0065931,            0.040003
                   2,            0.060265,            0.056904,             0.06187,             0.35467,             0.24735,             0.11287,            0.053537,            0.057049,            0.031322,            0.057271,           0.0097945,           0.0097945,           0.0098706
                   3,            0.053211,            0.054046,            0.058096,             0.49049,             0.31587,              0.2049,             0.12467,            0.046856,            0.023692,            0.051065,            0.009703,            0.009703,            0.009703
                   4,            0.049229,            0.051717,            0.055252,             0.57076,             0.28682,             0.25569,             0.16288,            0.042271,            0.021317,            0.047684,            0.009703,            0.009703,            0.009703
                   5,            0.047463,            0.050572,            0.053016,             0.60854,             0.35437,             0.32679,             0.19748,            0.044106,             0.02134,            0.047309,            0.009604,            0.009604,            0.009604
                   6,            0.046624,            0.050739,            0.051122,             0.59183,              0.3214,              0.3392,             0.21926,            0.042656,            0.024907,            0.045085,            0.009505,            0.009505,            0.009505
                   7,            0.046065,            0.050588,            0.048971,             0.76539,             0.37321,             0.41728,             0.26695,            0.037952,             0.01981,            0.039562,            0.009406,            0.009406,            0.009406
                   8,            0.045688,            0.049878,            0.046286,             0.75647,             0.39834,             0.43842,             0.29949,             0.03653,            0.020425,            0.037244,            0.009307,            0.009307,            0.009307
                   9,            0.044387,            0.048977,            0.044592,             0.79327,             0.41427,             0.47245,             0.32637,            0.035805,            0.019576,            0.034561,            0.009208,            0.009208,            0.009208
                  10,            0.043364,            0.047642,             0.04284,             0.80152,             0.42895,             0.49028,             0.30841,            0.037151,            0.018849,            0.033581,            0.009109,            0.009109,            0.009109
                  11,            0.043666,             0.04852,            0.041728,             0.86214,             0.40337,             0.50737,             0.34469,            0.035076,            0.018977,            0.031323,             0.00901,             0.00901,             0.00901
                  12,            0.043071,            0.048718,            0.041158,             0.78693,             0.45812,             0.50891,             0.35353,            0.034415,            0.018448,            0.030939,            0.008911,            0.008911,            0.008911
                  13,            0.042056,            0.047289,            0.038774,             0.86486,             0.44551,              0.5383,             0.35541,            0.035431,            0.018551,            0.026676,            0.008812,            0.008812,            0.008812
                  14,            0.041842,            0.046918,            0.037503,             0.84172,              0.4827,              0.5478,             0.36797,            0.034885,            0.018344,            0.026497,            0.008713,            0.008713,            0.008713
                  15,            0.041747,            0.046957,            0.036239,             0.82716,             0.48705,             0.54911,             0.38566,            0.033508,             0.01834,            0.026295,            0.008614,            0.008614,            0.008614
                  16,            0.041169,            0.046941,            0.036549,             0.89189,             0.45801,             0.58237,             0.39441,            0.034394,            0.018246,            0.024278,            0.008515,            0.008515,            0.008515
                  17,            0.041303,            0.046465,            0.035559,             0.78988,             0.52076,              0.5562,             0.39752,             0.03267,            0.017681,            0.025446,            0.008416,            0.008416,            0.008416
                  18,            0.040626,            0.046439,            0.034432,             0.74146,             0.56715,             0.59326,             0.40876,            0.031997,            0.018394,            0.023329,            0.008317,            0.008317,            0.008317
                  19,            0.040444,            0.046085,            0.034218,             0.86652,             0.47925,             0.58015,             0.41257,            0.032587,            0.018291,            0.023111,            0.008218,            0.008218,            0.008218
                  20,            0.040359,            0.045625,            0.033061,              0.8629,              0.5004,             0.59208,             0.41586,            0.031313,            0.017891,            0.020822,            0.008119,            0.008119,            0.008119
                  21,            0.039912,            0.046033,            0.032472,              0.8185,             0.53864,             0.60435,             0.42883,            0.031778,            0.017353,            0.020662,             0.00802,             0.00802,             0.00802
                  22,            0.039877,            0.045541,             0.03193,             0.81359,             0.55717,             0.65843,             0.44788,            0.031525,            0.016835,            0.020355,            0.007921,            0.007921,            0.007921
                  23,            0.039502,            0.046073,            0.031233,             0.87135,             0.53225,             0.63373,             0.44586,            0.031558,            0.016948,            0.018672,            0.007822,            0.007822,            0.007822
                  24,            0.039297,            0.044877,            0.030644,             0.86179,             0.52657,             0.61909,             0.44706,            0.031766,            0.017306,            0.018817,            0.007723,            0.007723,            0.007723
                  25,            0.039449,            0.044533,            0.030833,             0.79189,              0.5745,             0.66303,             0.46811,            0.030688,            0.017118,            0.018842,            0.007624,            0.007624,            0.007624
                  26,            0.039238,             0.04523,             0.03003,             0.82609,             0.51486,             0.64209,             0.45308,            0.031797,            0.017746,            0.018742,            0.007525,            0.007525,            0.007525
                  27,            0.038928,            0.044803,            0.030317,             0.80466,             0.55267,             0.62263,             0.45041,            0.030387,            0.016331,            0.018031,            0.007426,            0.007426,            0.007426
                  28,            0.038888,            0.044706,            0.028748,             0.91911,             0.51628,             0.66005,             0.46008,            0.030431,            0.016584,            0.018113,            0.007327,            0.007327,            0.007327
                  29,            0.038351,            0.044112,            0.028742,             0.60427,              0.6466,             0.64406,              0.4616,            0.029216,            0.016841,            0.017035,            0.007228,            0.007228,            0.007228
                  30,             0.03837,            0.044707,            0.028952,             0.85064,             0.56833,             0.65666,             0.46635,            0.030499,            0.016569,            0.017642,            0.007129,            0.007129,            0.007129
                  31,            0.038078,            0.044015,             0.02842,             0.75278,             0.59153,             0.64086,             0.46882,            0.030472,            0.016073,            0.017367,             0.00703,             0.00703,             0.00703
                  32,            0.038198,            0.044332,            0.027923,             0.73532,             0.58517,             0.65369,             0.47262,            0.030925,            0.016483,            0.016192,            0.006931,            0.006931,            0.006931
                  33,             0.03792,            0.044069,            0.027177,             0.72445,              0.5971,               0.654,             0.47416,            0.029228,            0.016413,            0.016287,            0.006832,            0.006832,            0.006832
                  34,            0.037681,            0.044606,            0.027234,             0.76307,             0.62982,             0.69613,             0.49801,            0.030059,            0.016122,            0.015034,            0.006733,            0.006733,            0.006733
                  35,            0.037251,            0.043672,            0.026856,             0.84497,             0.56918,             0.65644,             0.48554,            0.028721,            0.016065,            0.015569,            0.006634,            0.006634,            0.006634
                  36,             0.03702,            0.043768,             0.02628,             0.73353,             0.65392,              0.6923,             0.49362,            0.029049,            0.016149,            0.014981,            0.006535,            0.006535,            0.006535
