               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083758,            0.063063,            0.070251,           0.0028931,             0.20437,           0.0046346,           0.0010716,            0.075073,            0.032784,            0.065512,           0.0033257,           0.0033257,            0.070068
                   1,            0.073306,              0.0605,            0.065342,             0.19615,              0.1927,              0.0528,            0.020889,            0.063469,            0.033732,            0.061347,           0.0065931,           0.0065931,            0.040003
                   2,            0.059654,            0.056732,            0.061553,             0.42211,             0.34683,             0.12926,            0.047458,            0.059403,            0.025922,             0.05606,           0.0097945,           0.0097945,           0.0098706
                   3,            0.052816,            0.054094,            0.057897,             0.49713,             0.34294,             0.22773,             0.13332,            0.043167,            0.021698,            0.051257,            0.009703,            0.009703,            0.009703
                   4,            0.048997,             0.05171,             0.05495,             0.61071,             0.34634,             0.31035,             0.19245,            0.042841,            0.020687,            0.046365,            0.009703,            0.009703,            0.009703
                   5,            0.047645,            0.050668,            0.052591,             0.55639,             0.32922,             0.27956,             0.17127,            0.041638,             0.02067,            0.049502,            0.009604,            0.009604,            0.009604
                   6,            0.046621,            0.050858,            0.050518,             0.63122,             0.34543,             0.33915,              0.2184,            0.040344,            0.022781,            0.045874,            0.009505,            0.009505,            0.009505
                   7,            0.046066,            0.050602,            0.048282,             0.75396,             0.36267,             0.42257,             0.26417,            0.038235,             0.02016,            0.038629,            0.009406,            0.009406,            0.009406
                   8,            0.045549,            0.050084,            0.046041,             0.68659,             0.40335,             0.45363,              0.3082,            0.035698,             0.02055,            0.036641,            0.009307,            0.009307,            0.009307
                   9,            0.044214,            0.049118,            0.044663,             0.81395,             0.37433,             0.45392,             0.31279,            0.035857,            0.020061,            0.035326,            0.009208,            0.009208,            0.009208
                  10,            0.043475,            0.047799,            0.043371,             0.78693,             0.40859,             0.46885,             0.31177,            0.037009,            0.019098,            0.036214,            0.009109,            0.009109,            0.009109
                  11,            0.043564,            0.048696,            0.042337,             0.81156,             0.44093,             0.51225,             0.35173,            0.036185,            0.019193,            0.031867,             0.00901,             0.00901,             0.00901
                  12,            0.042951,            0.048891,            0.041577,             0.84867,              0.4281,             0.51594,             0.35283,            0.033972,            0.018743,            0.030319,            0.008911,            0.008911,            0.008911
                  13,            0.042216,            0.047489,            0.039384,             0.80593,             0.48494,             0.53693,             0.36133,            0.035228,            0.018589,            0.027699,            0.008812,            0.008812,            0.008812
                  14,            0.041848,            0.047118,            0.037844,             0.81296,             0.47013,              0.5374,             0.35921,            0.035271,            0.018439,            0.029149,            0.008713,            0.008713,            0.008713
                  15,            0.041834,             0.04719,            0.036568,             0.85997,             0.44531,             0.52337,             0.36948,            0.033549,            0.018708,            0.028233,            0.008614,            0.008614,            0.008614
                  16,            0.041408,            0.047094,             0.03687,             0.86472,             0.47457,             0.57351,             0.39446,            0.034412,            0.018389,             0.02353,            0.008515,            0.008515,            0.008515
                  17,            0.041418,            0.046692,            0.035745,             0.84478,             0.47489,              0.5558,             0.39392,            0.033666,            0.017777,            0.023466,            0.008416,            0.008416,            0.008416
                  18,            0.040829,             0.04656,            0.034587,             0.81818,             0.52241,             0.57852,             0.40078,            0.032688,            0.019097,            0.022498,            0.008317,            0.008317,            0.008317
                  19,            0.040483,            0.046323,            0.034449,             0.86209,             0.49012,             0.56428,             0.39611,            0.032444,            0.018169,            0.023549,            0.008218,            0.008218,            0.008218
                  20,            0.040504,            0.045721,            0.032979,             0.88434,             0.46786,             0.58867,             0.41069,            0.032936,             0.01773,            0.022484,            0.008119,            0.008119,            0.008119
                  21,            0.039931,            0.046203,            0.032572,             0.80905,             0.55916,             0.61612,             0.42152,            0.032128,            0.017311,             0.02009,             0.00802,             0.00802,             0.00802
                  22,            0.040117,            0.045685,            0.032137,               0.766,             0.55381,             0.62197,             0.42791,            0.032451,             0.01708,            0.020994,            0.007921,            0.007921,            0.007921
                  23,            0.039528,            0.046196,             0.03135,             0.85307,             0.53916,             0.63004,             0.44346,            0.031263,            0.016864,             0.01952,            0.007822,            0.007822,            0.007822
                  24,            0.039619,            0.044948,             0.03049,             0.88383,              0.4952,             0.62508,             0.44773,            0.031525,            0.017099,            0.019115,            0.007723,            0.007723,            0.007723
                  25,            0.039293,            0.044692,            0.031112,             0.78538,             0.55366,             0.64749,             0.44847,            0.032565,             0.01798,            0.019254,            0.007624,            0.007624,            0.007624
                  26,            0.039394,            0.045508,            0.030413,             0.84084,             0.51748,             0.64832,             0.44818,            0.031195,            0.017563,            0.019637,            0.007525,            0.007525,            0.007525
                  27,             0.03897,            0.045081,            0.030257,             0.85709,             0.53731,             0.66372,             0.45972,             0.03197,            0.017076,            0.017566,            0.007426,            0.007426,            0.007426
                  28,            0.039158,            0.044873,            0.028915,             0.59012,              0.6485,             0.67691,               0.478,            0.030184,            0.017463,            0.017617,            0.007327,            0.007327,            0.007327
                  29,            0.038337,            0.044213,            0.028819,             0.65983,             0.63212,             0.66396,             0.47739,            0.029559,            0.016719,            0.017727,            0.007228,            0.007228,            0.007228
                  30,            0.038557,            0.045104,            0.029216,             0.66744,              0.6222,             0.66286,             0.46426,             0.03027,            0.017017,            0.019791,            0.007129,            0.007129,            0.007129
                  31,              0.0381,            0.044247,            0.028976,             0.82292,             0.55392,             0.68285,             0.47488,            0.029982,            0.016601,            0.016616,             0.00703,             0.00703,             0.00703
                  32,            0.038329,            0.044544,            0.027889,             0.86436,             0.56307,             0.69431,             0.49539,             0.03029,            0.016769,            0.015937,            0.006931,            0.006931,            0.006931
                  33,            0.038036,            0.044388,             0.02758,             0.82521,              0.5384,             0.65478,             0.47092,            0.029293,            0.016999,            0.018054,            0.006832,            0.006832,            0.006832
                  34,            0.037813,            0.044629,            0.027117,             0.89411,             0.54143,             0.70937,             0.50091,            0.029168,            0.016461,            0.015144,            0.006733,            0.006733,            0.006733
                  35,            0.037411,            0.043915,            0.027818,             0.89585,             0.54455,             0.69218,             0.49339,               0.029,            0.016592,            0.015841,            0.006634,            0.006634,            0.006634
                  36,            0.037291,            0.043989,            0.026409,             0.54604,             0.71603,             0.71176,             0.49719,             0.02868,            0.016647,            0.015327,            0.006535,            0.006535,            0.006535
                  37,            0.037224,            0.044341,            0.026284,             0.63997,             0.67026,             0.71027,              0.5113,            0.028312,            0.016598,            0.015138,            0.006436,            0.006436,            0.006436
                  38,            0.037149,            0.043562,            0.026651,             0.86661,             0.58052,             0.71484,             0.50602,            0.029697,            0.016713,            0.014567,            0.006337,            0.006337,            0.006337
                  39,            0.036816,            0.043276,            0.026161,             0.86262,             0.59048,              0.7026,             0.51133,            0.027961,              0.0163,            0.014262,            0.006238,            0.006238,            0.006238
