               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083622,            0.063481,            0.070315,           0.0032794,            0.028712,           0.0034773,           0.0007456,            0.073978,             0.03429,            0.065786,           0.0033257,           0.0033257,            0.070068
                   1,            0.072953,            0.060346,            0.065353,             0.43912,             0.24967,            0.079621,            0.030391,            0.060433,            0.029632,            0.060782,           0.0065931,           0.0065931,            0.040003
                   2,            0.058953,            0.056779,            0.061896,             0.42191,             0.31436,             0.13692,             0.06815,            0.049433,            0.026035,            0.057208,           0.0097945,           0.0097945,           0.0098706
                   3,            0.052476,            0.054082,             0.05728,             0.52457,             0.33128,             0.24525,             0.14962,            0.044141,            0.021468,            0.050426,            0.009703,            0.009703,            0.009703
                   4,             0.04942,            0.052586,            0.054655,             0.58001,             0.33397,             0.28985,             0.14778,            0.045389,            0.020864,            0.047507,            0.009703,            0.009703,            0.009703
                   5,             0.04764,            0.050619,             0.05241,             0.57888,             0.35962,             0.31097,             0.20259,            0.042024,            0.022841,            0.047761,            0.009604,            0.009604,            0.009604
                   6,            0.046458,            0.049556,            0.050079,             0.72061,             0.36562,             0.40233,             0.26277,             0.03724,            0.020878,            0.042059,            0.009505,            0.009505,            0.009505
                   7,            0.045659,            0.050334,            0.047567,             0.78642,             0.36725,             0.41941,             0.25879,            0.037691,            0.019473,            0.039868,            0.009406,            0.009406,            0.009406
                   8,             0.04457,            0.048837,            0.046189,             0.75323,             0.39098,               0.443,             0.27033,            0.037582,            0.019735,            0.035965,            0.009307,            0.009307,            0.009307
                   9,            0.043922,            0.048259,            0.044728,             0.77388,              0.4008,             0.46688,             0.29886,            0.036396,            0.019017,            0.035381,            0.009208,            0.009208,            0.009208
                  10,            0.043626,            0.048661,            0.042885,             0.79708,              0.4104,             0.47723,             0.33417,            0.035841,            0.018558,            0.035295,            0.009109,            0.009109,            0.009109
                  11,            0.042848,            0.046763,            0.041494,             0.83358,              0.4044,              0.4919,             0.34445,            0.034921,             0.01884,            0.031539,             0.00901,             0.00901,             0.00901
                  12,            0.042387,            0.047261,            0.040554,             0.85204,              0.4208,             0.51261,             0.35932,            0.035338,            0.018285,            0.031126,            0.008911,            0.008911,            0.008911
                  13,            0.042281,            0.047778,             0.03941,             0.83332,             0.44386,             0.52769,             0.36443,             0.03413,             0.01876,            0.030774,            0.008812,            0.008812,            0.008812
                  14,            0.042616,            0.048074,            0.037925,             0.85717,             0.45588,             0.52508,             0.36911,            0.033155,            0.018594,            0.031401,            0.008713,            0.008713,            0.008713
                  15,            0.041066,            0.046592,            0.037234,             0.73386,             0.50968,             0.56797,             0.38832,            0.033392,            0.017581,            0.027279,            0.008614,            0.008614,            0.008614
                  16,            0.041232,            0.047184,             0.03652,             0.86123,              0.4783,             0.55803,             0.38943,            0.033142,            0.018166,            0.025014,            0.008515,            0.008515,            0.008515
                  17,            0.041519,             0.04738,            0.035815,             0.77484,             0.51596,             0.58498,             0.39617,            0.032303,            0.018217,            0.023957,            0.008416,            0.008416,            0.008416
