               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083777,            0.062686,            0.070048,           0.0028249,             0.18779,           0.0025239,          0.00048011,            0.074631,            0.032534,            0.065908,           0.0033257,           0.0033257,            0.070068
                   1,            0.073236,            0.060301,            0.065075,              0.4675,             0.27421,            0.075591,            0.031169,            0.058912,            0.027786,            0.061719,           0.0065931,           0.0065931,            0.040003
                   2,            0.059679,             0.05696,            0.062377,              0.3835,             0.38196,             0.09401,            0.045486,            0.049943,            0.025083,            0.059362,           0.0097945,           0.0097945,           0.0098706
                   3,            0.052977,            0.054484,            0.059437,             0.49744,             0.32303,             0.21437,             0.13199,            0.043339,            0.022851,            0.051949,            0.009703,            0.009703,            0.009703
                   4,            0.049894,            0.051776,            0.055545,             0.55318,             0.31359,             0.26945,             0.17104,            0.042129,            0.021229,            0.049354,            0.009703,            0.009703,            0.009703
                   5,            0.048236,              0.0514,            0.053582,             0.65016,             0.35577,             0.35533,             0.22603,            0.039738,             0.02054,            0.045181,            0.009604,            0.009604,            0.009604
                   6,            0.046994,            0.051014,            0.050686,             0.64689,             0.38483,              0.3678,             0.24732,            0.039452,            0.020525,            0.044131,            0.009505,            0.009505,            0.009505
                   7,            0.045966,            0.051026,            0.049888,             0.70953,             0.37498,             0.40604,             0.26166,             0.03934,            0.020032,             0.04206,            0.009406,            0.009406,            0.009406
                   8,            0.045645,            0.050282,            0.047436,             0.70883,             0.37511,             0.44358,             0.26804,            0.038482,            0.020359,            0.037163,            0.009307,            0.009307,            0.009307
                   9,            0.044693,            0.049557,            0.045946,             0.76799,             0.38926,             0.44029,             0.30606,             0.03681,             0.01958,            0.036899,            0.009208,            0.009208,            0.009208
                  10,            0.044283,            0.049379,            0.043975,             0.84065,             0.37758,             0.45121,             0.29807,            0.037259,            0.020592,            0.035287,            0.009109,            0.009109,            0.009109
                  11,            0.043595,            0.048309,            0.042594,              0.7739,             0.41719,             0.47213,             0.32365,            0.035168,            0.018817,             0.03283,             0.00901,             0.00901,             0.00901
                  12,            0.043206,            0.048144,             0.04183,             0.85927,             0.39617,             0.50375,             0.34702,            0.035646,            0.018466,            0.034797,            0.008911,            0.008911,            0.008911
